job_id,source,job_title,job_title_group,company_name,location,company_type,level,experience_years,salary_min,salary_max,salary_avg,salary_currency,remote_option,tech_stack,salary_is_estimated,salary_min_original,salary_max_original,currency
fd17203e574da115,itviec,Big Data Admin (Kafka/Docker/Data Warehousing/Spark),Data Engineer,Giao Hàng Tiết Kiệm,Ha Noi,Logistics,Junior,1.0,15000000.0,30000000.0,22500000.0,USD,onsite,"Big Data, Data Warehousing, Docker, MySQL, Kafka, Hadoop",0,600.0,1200.0,USD
a20f9553550a5dcc,itviec,Security Engineer (Cloud & CI/CD),Security Engineer,VIETTEL CUSTOMER SERVICE,Ha Noi,Technology,Junior,2.0,25000000.0,50000000.0,37500000.0,USD,onsite,"Security, DevSecOps, AWS, Linux, SIEM, CI/CD",0,1000.0,2000.0,USD
e5310905d5676a0d,itviec,"Senior Embedded QT Architect (C++, Linux, AI-First)",Embedded/IoT Engineer,NTP-Tech,Ha Noi,Technology,Senior,6.5,50000000.0,50000000.0,50000000.0,USD,onsite,"Embedded, Clean Architecture, AI, Linux, C++, Qt",0,2000.0,2000.0,USD
0fbd3c153883ffb9,itviec,"QA Manager (Tester, Japanese N2+)",QA/Tester,"ANDPAD VietNam Co., Ltd",Ho Chi Minh,Other,Manager,5.0,,,,,onsite,"QA QC, Leadership, Tester, Scrum, Agile, Japanese",0,,,
c63a3430f39b1007,itviec,Senior Cloud Security Engineer,Security Engineer,CTCP SÀN GIAO DỊCH TÀI SẢN MÃ HÓA VIỆT NAM THỊNH VƯỢNG (CAEX),Ha Noi,Technology,Senior,5.0,50000000.0,75000000.0,62500000.0,USD,onsite,"Cloud Security, Golang, DevSecOps, Container Security, Information Security, Security",0,2000.0,3000.0,USD
ef5d823de7ce6021,itviec,.NET Developer,Software Engineer/Developer,Simpson Strong-Tie Vietnam,Ho Chi Minh,Other,Middle,3.0,,,,,hybrid,".NET, English, .Net Core, C#",0,,,
da7068e6497ee07e,itviec,Senior Full-stack Developer (SAP Hybris),Full-stack Developer,Simpson Strong-Tie Vietnam,Ho Chi Minh,Other,Senior,5.0,,,,,remote,"Java, Microservices, ReactJS, Spring Boot, SAP",0,,,
0de3cac8197fffb1,itviec,AI Software Engineer (Python/Go/C/C++ & AI Agents),Data Scientist/AI Engineer,MB Bank,Ha Noi,Technology,,,,,,,onsite,"Python, FastAPI, Docker, Microservices Architecture, Golang, C++",0,,,
12cc187f84615226,itviec,Agentic Engineer (Python/Go/C/C++ Backend & AI Agents),Backend Developer,MB Bank,Ha Noi,Technology,,,,,,,onsite,"Python, TensorFlow, Flask, FastAPI, Microservices, C++",0,,,
279d5a29748e7357,itviec,(HOLT.17)Senior AI Engineer (Computer Vision/NPL/LLM),Data Scientist/AI Engineer,MB Bank,Ha Noi,Technology,Senior,2.0,,,,,onsite,"AI, TensorFlow, PyTorch, Microservices, C++, Python",0,,,
