job_title,company_name,location,remote_option,tech_stack,experience_years,salary_min,salary_max,currency
Senior Cloud Security Engineer,CTCP SÀN GIAO DỊCH TÀI SẢN MÃ HÓA VIỆT NAM THỊNH VƯỢNG (CAEX),Ha Noi,onsite,"Cloud Security, Golang, DevSecOps, Container Security",,,,
.NET Developer,Simpson Strong-Tie Vietnam,Ho Chi Minh,hybrid,".NET, English, .Net Core, C#",3+ years,,,
Senior Full-stack Developer (SAP Hybris),Simpson Strong-Tie Vietnam,Ho Chi Minh,remote,"Java, Microservices, ReactJS, Spring Boot, SAP",5 years,,,
AI Software Engineer (Python/Go/C/C++ & AI Agents),MB Bank,Ha Noi,onsite,"Python, FastAPI, Docker, Microservices Architecture, Golang",,,,
Agentic Engineer (Python/Go/C/C++ Backend & AI Agents),MB Bank,Ha Noi,onsite,"Python, TensorFlow, Flask, FastAPI, Microservices, C++",,,,
(HOLT.17)Senior AI Engineer (Computer Vision/NPL/LLM),MB Bank,Ha Noi,onsite,"AI, TensorFlow, PyTorch, Microservices, C++, Python",2 years,,,
(HOLT.16) Senior AI Expert (Machine Learning),MB Bank,Ha Noi,onsite,"AI, LLM, Deep Learning, Machine Learning, Computer Vision",5 years,,,
"(HOLT.15) AI Expert (Deep Learning, Machine Learning)",MB Bank,Ha Noi,onsite,"AI, LLM, Machine Learning, Computer Vision, NLP",3 years,,,
(HO26.85) Trưởng phòng Công nghệ Thị giác Máy tính,MB Bank,Ha Noi,onsite,"Computer Vision, Deep Learning, TensorFlow, PyTorch",5 years,,,
(HO26.84) CV Phát triển khoa học dữ liệu-Data Scientist,MB Bank,Ha Noi,onsite,"Big Data, AI, Data Science",1 years,,,
VAI_Senior Solution Architect,Viettel Group,Ha Noi,onsite,"Software Architecture, Design, Team Management, JavaScript",5 years,,,
"System Engineer (JavaScript, APIs, AWS, Azure, GCP)",AI AVATAR,Ha Noi,onsite,"System Admin, GCP, Azure, AWS, API, JavaScript",,,,
Senior Business Analyst & Technical Writer (AI-First),NTP-Tech,Ha Noi,onsite,"Business Analysis, Product Owner, English, AI",7+ years,,,
VAI_Quality Assurance Engineer,Viettel Group,Ha Noi,onsite,"QA QC, Project Management, Product Management",2 years,,,
VAI_Fullstack Engineer,Viettel Group,Ha Noi,onsite,"Software Architecture, Scala, Team Management, JavaScript",2 years,,,
"Cloud Solution Architect (AWS) (Senior, Junior)",MEGAZONE,Ha Noi,onsite,"Solution Architecture, System Architecture, Cloud-native Architecture",1-5 years,,,
AI Engineer,Dirox,Ho Chi Minh,hybrid,"AI, Python, Docker, LLM, Generative AI",5+ years,,,
AI Architecture Lead (SA),VinSmart Future,Ha Noi,onsite,"Python, AI, AWS, DevOps, Software Architecture",5+ years,,,
"DevSecOps (Jenkins, gitlab)",ABBANK,Ha Noi,onsite,"DevSecOps, GitLab, Jenkins, Networking, Security, DevOps",05 years,,,
Game Client Developer (Cocos Creator/Unity/C#),RGP Software Processing,Ho Chi Minh,onsite,"Games, Spin, Cocos Creator, Cocos2d-x, C#, Unity",3 years,,,
Backend Developer (Java/ WebSocket/ Redis/ Kafka),RGP Software Processing,Ho Chi Minh,onsite,"Java, Redis, MySQL, Kafka, Spring",5 years,,,
Mid/Sr Java Developer (English Required) - Up to 3200$,"Rakuten Fintech Vietnam Co., Ltd.",Ho Chi Minh,onsite,"Java, Unit test, Spring Boot, Spring, SQL, English",5+ years,,,
"AI Developer (Python, C#, Git, JavaScript, Azure)",SAVILLS VIETNAM,Ho Chi Minh,onsite,"AI, Azure, JavaScript, Git, C#, Python",,,,
Enterprise Architecture (Quản Trị Kiến Trúc),ABBANK,Ha Noi,onsite,"Solution Architecture, Leadership, Software Architecture",5 years,,,
