job_title,tech_stack,experience_years,location,company_name,remote_option,salary_min,salary_max,currency
Big Data Admin (Kafka/Docker/Data Warehousing/Spark),"Big Data, Data Warehousing, Docker, MySQL, Kafka, Hadoop",1 years,Ha Noi,Giao Hàng Tiết Kiệm,onsite,600,1200,USD
Security Engineer (Cloud & CI/CD),"Security, DevSecOps, AWS, Linux, SIEM, CI/CD",2 years,Ha Noi,VIETTEL CUSTOMER SERVICE,onsite,1000,2000,USD
"Senior Embedded QT Architect (C++, Linux, AI-First)","Embedded, Clean Architecture, AI, Linux, C++, Qt",5-8 years,Ha Noi,NTP-Tech,onsite,2000,2000,USD
"QA Manager (Tester, Japanese N2+)","QA QC, Leadership, Tester, Scrum, Agile, Japanese",5+ years,Ho Chi Minh,"ANDPAD VietNam Co., Ltd",onsite,,,
Senior Cloud Security Engineer,"Cloud Security, Golang, DevSecOps, Container Security, Information Security, Security",5+ years,Ha Noi,CTCP SÀN GIAO DỊCH TÀI SẢN MÃ HÓA VIỆT NAM THỊNH VƯỢNG (CAEX),onsite,2000,3000,USD
.NET Developer,".NET, English, .Net Core, C#",3+ years,Ho Chi Minh,Simpson Strong-Tie Vietnam,hybrid,,,
Senior Full-stack Developer (SAP Hybris),"Java, Microservices, ReactJS, Spring Boot, SAP",5 years,Ho Chi Minh,Simpson Strong-Tie Vietnam,remote,,,
AI Software Engineer (Python/Go/C/C++ & AI Agents),"Python, FastAPI, Docker, Microservices Architecture, Golang, C++",,Ha Noi,MB Bank,onsite,,,
Agentic Engineer (Python/Go/C/C++ Backend & AI Agents),"Python, TensorFlow, Flask, FastAPI, Microservices, C++",,Ha Noi,MB Bank,onsite,,,
(HOLT.17)Senior AI Engineer (Computer Vision/NPL/LLM),"AI, TensorFlow, PyTorch, Microservices, C++, Python",2 years,Ha Noi,MB Bank,onsite,,,
(HOLT.16) Senior AI Expert (Machine Learning),"AI, LLM, Deep Learning, Machine Learning, Computer Vision, NLP",5 years,Ha Noi,MB Bank,onsite,,,
"(HOLT.15) AI Expert (Deep Learning, Machine Learning)","AI, LLM, Deep Learning, Machine Learning, Computer Vision, NLP",3 years,Ha Noi,MB Bank,onsite,,,
(HO26.85) Trưởng phòng Công nghệ Thị giác Máy tính,"Computer Vision, Deep Learning, TensorFlow, PyTorch, Machine Learning, AI",5 years,Ha Noi,MB Bank,onsite,,,
(HO26.84) CV Phát triển khoa học dữ liệu-Data Scientist,"Big Data, AI, Data Science",1 years,Ha Noi,MB Bank,onsite,,,
VAI_Senior Solution Architect,"Software Architecture, Design, Team Management, JavaScript, Agile, Python",5 years,Ha Noi,Viettel Group,onsite,1200,2500,USD
"System Engineer (JavaScript, APIs, AWS, Azure, GCP)","System Admin, GCP, Azure, AWS, API, JavaScript",,Ha Noi,AI AVATAR,onsite,1500,3500,USD
Senior Business Analyst & Technical Writer (AI-First),"Business Analysis, Product Owner, English, AI, Technical Writing",7+ years,Ha Noi,NTP-Tech,onsite,40000000,40000000,VND
VAI_Quality Assurance Engineer,"QA QC, Project Management, Product Management, Team Management",2 years,Ha Noi,Viettel Group,onsite,500,1100,USD
VAI_Fullstack Engineer,"Software Architecture, Scala, Team Management, JavaScript, Agile, Python",2 years,Ha Noi,Viettel Group,onsite,700,2500,USD
"Cloud Solution Architect (AWS) (Senior, Junior)","Solution Architecture, System Architecture, Cloud-native Architecture, Presale, Cloud, AWS",1-5 years,Ha Noi,MEGAZONE,onsite,,,
AI Engineer,"AI, Python, Docker, LLM, Generative AI",5+ years,Ho Chi Minh,Dirox,hybrid,,,
AI Architecture Lead (SA),"Python, AI, AWS, DevOps, Software Architecture",5+ years,Ha Noi,VinSmart Future,onsite,,,
"DevSecOps (Jenkins, gitlab)","DevSecOps, GitLab, Jenkins, Networking, Security, DevOps",05 years,Ha Noi,ABBANK,onsite,,,
Backend Developer (Java/ WebSocket/ Redis/ Kafka),"Java, Redis, MySQL, Kafka, Spring",5 years,Ho Chi Minh,RGP Software Processing,onsite,,,
Mid/Sr Java Developer (English Required) - Up to 3200$,"Java, Unit test, Spring Boot, Spring, SQL, English",5+ years,Ho Chi Minh,"Rakuten Fintech Vietnam Co., Ltd.",onsite,1500,3200,USD
Game Client Developer (Cocos Creator/Unity/C#),"Games, Spin, Cocos Creator, Cocos2d-x, C#, Unity",3 years,Ho Chi Minh,RGP Software Processing,onsite,,,
"AI Developer (Python, C#, Git, JavaScript, Azure)","AI, Azure, JavaScript, Git, C#, Python",,Ho Chi Minh,SAVILLS VIETNAM,onsite,,,
Enterprise Architecture (Quản Trị Kiến Trúc),"Solution Architecture, Leadership, Software Architecture",5 years,Ha Noi,ABBANK,onsite,1500,2200,USD
"Senior Fullstack Developer (ReactJS, NodeJS)","JavaScript, Product Management, Generative AI, NodeJS, ReactJS",5+ years,Ho Chi Minh,Template.net,onsite,,,
Android Developer (Middle - Senior),"Android, Agile",8 years,Ha Noi,Ingenico Vietnam,onsite,,,
"CVCC Quản trị dữ liệu (Data Governance, SQL, R )-K.CNTT","Python, Data Quality Tools, Data Lineage, Database, PL/SQL, SQL",3 years,Ha Noi,PVcomBank,onsite,,,
CVCC Phát triển hệ thống Quản trị tài chính - K.CNTT,"PL/SQL, SQL, Business Intelligence, Business Analysis, Scrum, Agile",3 years,Ha Noi,PVcomBank,onsite,,,
Korean Bridge Software Engineer,"Bridge Engineer, IT Communication/Translation, Project Management, Business Analysis, Korean",1 years,Ha Noi,LG CNS Việt Nam,onsite,500,2000,USD
Application Architect,"Microservices Architecture, Agile, Networking, Linux, GCP",7+ years,Ha Noi,LG CNS Việt Nam,onsite,,,
Senior Machine Learning Engineer (Open for Team Lead),"Machine Learning, English, NLP, LLM, Python",3+ years,Ho Chi Minh,Home Credit Vietnam,onsite,,,
"Senior DevSecOps Engineer –Logistics Platform (AWS,SQL)","AWS, OWASP, Git, DNS Security, Docker, SQL",4+ years,Ho Chi Minh,Smartlog,onsite,1600,2000,USD
Technical Lead (Ruby/Java/NodeJS/PHP),"Ruby on Rails, Java, Ruby, PHP, NodeJS, English",8 years,Ho Chi Minh,RAKSUL Vietnam,hybrid,2800,3500,USD
"Junior Power Platform Dev(UI/UX, .NET)(Strong English)","UI-UX, HTML, JavaScript, ASP.NET, C#, .NET",,Ho Chi Minh,Wilmar CLV (Cambodia Laos Vietnam),onsite,,,
".NET Developer (C#, ASP.NET,...)(strong English)",".NET, API, SQL, MVC, ASP.NET, C#",,Ho Chi Minh,Wilmar CLV (Cambodia Laos Vietnam),onsite,,,
"AI Engineer (Python, Microservices, Docker)","AI, Docker, Microservices, Python",5 years,Ha Noi,ABBANK,onsite,,,
