job_title,tech_stack,experience_years,location,company_name,remote_option,salary_min,salary_max,currency
"Junior Fullstack Developer (NODE.JS + REACT) (Không Yêu Cầu Tiếng Anh, Nghỉ T7,CN) - Lương Upto 25 Triệu","fullstack developer, it - phần mềm, nghỉ thứ..., fullstack develope...",2,Hà Nội,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ ZENIFY,onsite,25000000,25000000,VND
Chuyên Viên Phát Triển Phần Mềm,"software engineer, nghỉ thứ 7, 3 năm kinh ng..., software engineer, n...",3,Hà Nội & Hồ Chí Minh (mới),CÔNG TY CỔ PHẦN TẬP ĐOÀN MIK GROUP VIỆT NAM,onsite,,,
Junior – Senior Java,"backend developer, nghỉ thứ 7, tuổi 25 - 30, 2..., backend developer, n...",2,Hà Nội,CÔNG TY CỔ PHẦN ADVANCE TECH VIỆT NAM,onsite,600,2000,USD
Lập Trình Viên (.Net) - Không Yêu Cầu Kinh Nghiêm - Thu Nhập Up To 20 M++,"software engineer, đại họ..., software engineer, 2...",2,Hà Nội,Công ty cổ phần công nghệ và giải pháp trực tuyến Toàn Cầu,onsite,8000000,20000000,VND
WordPress Developer - Mid Level / Senior Level - (20h - 05h) Remote,"frontend developer, it - phần mềm, nghỉ thứ ..., frontend developer",2,Hà Nội & 3 nơi khác,CENNEXT,onsite,12000000,18000000,VND
Kỹ Sư Phát Triển Phần Mềm (PHP-Vue.Js),"backend developer, it - phần mềm, nghỉ thứ 7, backend developer, i...",2,Hà Nội,TRUNG TÂM DỊCH VỤ DỮ LIỆU VÀ TRÍ TUỆ NHÂN TẠO VIETTEL - CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,onsite,,,
Back-End Java Developer,"software engineer, it - phần mềm, nghỉ thứ 7, software engineer, i...",3,Hà Nội,CÔNG TY CỔ PHẦN CÔNG NGHỆ AIT,onsite,,,
Lập Trình Viên Nodejs Đi Làm Ngay Tại Hà Nội,"fullstack developer, it - phần mềm, tiếng an..., fullstack develope...",1,Hà Nội,Công ty cổ phần giải pháp MKT,onsite,30000000,30000000,VND
"Middle/Senior Frontend Engineer(ReactJS,Fullstack)","frontend developer, it - phần mềm, nghỉ thứ ..., frontend developer",4,Hồ Chí Minh (mới),PORTERS ASIA VIETNAM COMPANY LIMITED,onsite,1000,3000,USD
Thực Tập Sinh Công Nghệ Thông Tin Fulltime (Có Mộc + Lương),"software engineer, không yêu cầu kinh nghi..., software engineer, k...",,Hồ Chí Minh (mới),CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,onsite,4000000,10000000,VND
Lập Trình Python (Odoo) / Python Dev (Junior) -,"backend developer, it - phần mềm, 2 năm kinh..., backend developer, i...",2,Hà Nội,Công ty cổ phần Đầu tư Bất động sản Hapulico,onsite,,,
Fullstack Software Engineer,"fullstack developer, it - phần mềm, nghỉ thứ..., fullstack develope...",5,Hà Nội,CÔNG TY CỔ PHẦN CMC OPENAI,onsite,45000000,45000000,VND
"Senior Java Web Developer (Spring Boot, SQL)","software engineer, it - phần mềm, nghỉ thứ 7, software engineer, i...",4,Hồ Chí Minh (mới),TMA Solutions,onsite,,,
Fullstack Developer Middle (Web App) – Japanese N3+| Up To 27M | Remote 5 Days/Month,"fullstack developer, it - phần mềm, nghỉ thứ..., fullstack develope...",2,Hà Nội,CÔNG TY CỔ PHẦN DS SOLUTION VIỆT NAM,onsite,27000000,27000000,VND
Nhân Viên Lập Trình Full Stack Developer,"fullstack developer, it - phần mềm, nghỉ thứ..., fullstack develope...",1,Hồ Chí Minh (mới),CÔNG TY CỔ PHẦN CÔNG NGHỆ DỊCH VỤ MITEK,onsite,,,
Thực Tập Sinh Công Nghệ Thông Tin Fulltime - Có Lương,"software engineer, it - phần mềm, it - phần ..., software engineer, i...",,Hồ Chí Minh (mới),CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,onsite,5000000,10000000,VND
IOS Developer (1-3 YOE) - App/Mobile - Competitive Income/Bonus,"mobile developer, it - phần mềm, game, giáo dụ..., mobile developer, it...",1,Hà Nội,Công ty Cổ phần Công nghệ eUp,onsite,,,
Nhân Viên Software Developer – Froned (Dev) - Làm Việc Tại Hà Nội,"frontend developer, đại h..., frontend developer",3,Hà Nội,BỆNH VIỆN ĐA KHOA PHƯƠNG ĐÔNG - CHI NHÁNH CÔNG TY TNHH TỔ HỢP Y TẾ PHƯƠNG ĐÔNG,onsite,,,
Frontend ReactJS Developer,"frontend developer, it - phần mềm, nghỉ thứ ..., frontend developer",4,Hà Nội,Công Ty TNHH LG CNS VIỆT NAM,onsite,,,
Backend Lead Engineer,"backend developer, it - phần mềm, thương mại..., backend developer, i...",3,Hà Nội,CÔNG TY TNHH LEVER SPHERE VIỆT NAM,onsite,50000000,70000000,VND
Mobile Developer,"mobile developer, it - phần mềm, 1 năm kinh ..., mobile developer, it...",1,Hà Nội,Công ty Cổ Phần Đầu tư Công nghệ Trip,onsite,10000000,30000000,VND
Fullstack Developer Middle (Web App) – English | Up To 27M | Remote 5 Days/Month,"fullstack developer, it - phần mềm, nghỉ thứ..., fullstack develope...",2,Hà Nội,CÔNG TY CỔ PHẦN DS SOLUTION VIỆT NAM,onsite,27000000,27000000,VND
Middle/Senior Backend Engineer (Fullstack),"backend developer, it - phần mềm, nghỉ thứ 7, backend developer, i...",4,Hồ Chí Minh (mới),PORTERS ASIA VIETNAM COMPANY LIMITED,onsite,1000,3000,USD
Java Engineer,"software engineer, it - phần mềm, nghỉ thứ 7, software engineer, i...",1,Hà Nội,TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,onsite,800,3500,USD
Java Developer ( Junior),"backend developer, it - phần mềm, 1 năm kinh..., backend developer, i...",1,Hà Nội,Công ty TNHH Đầu tư và Phát triển Công nghệ Đức Việt,onsite,24000000,24000000,VND
Kỹ Sư Giải Pháp Phần Mềm/ Software Developer,"fullstack developer, it - phần mềm, it - phầ..., fullstack develope...",2,Hà Nội,CÔNG TY CỔ PHẦN DỊCH  VỤ CÔNG NGHỆ TIN HỌC HPT,onsite,15000000,30000000,VND
